ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0003002,regionalization,58/1451,430/18986,0.13488372093023257,1.7649223470581636,4.615253035940337,1.6214377429425923e-5,0.00132982462159822,0.0011303515748647642,DSCAML1/FOXA2/RARG/WNT7A/HES5/CRB2/HHIP/HOXA4/HOXA11/DLL3/IHH/LHX1/MSX1/LRP2/HES6/NTF4/SIX3/TCF15/SHH/MEOX1/GLI1/COBL/TDRD5/HOXB9/PAX2/FOLR1/GREM2/WT1/ROBO2/NKX3-1/GLI3/DMRT3/NOG/BMPR1B/MSX2/WIF1/PKD1L1/LEF1/HOXB2/HOXB8/FOXC2/PAX6/HOXC11/WNT2/LHX2/FOXA1/MESP1/DNAAF1/DNAH11/SOSTDC1/HES2/RELN/DMRTA2/WNT11/TBX18/SIX1/FOXB1/LRP4,58
GO:0086001,cardiac muscle cell action potential,19/1451,85/18986,0.2235294117647059,2.924830745530466,5.116179117571793,1.746573696712426e-5,0.0014110751373588599,0.0011994145527619818,TRPM4/FGF12/SCN8A/SCN4A/SLC8A1/RANGRF/KCNH2/SCN11A/SCN2B/KCNN2/KCNE4/NOS1/HCN4/KCND3/SCN3B/SCN5A/SCN7A/SCN2A/TBX18,19
GO:0009410,response to xenobiotic stimulus,60/1451,451/18986,0.13303769401330376,1.7407675110520917,4.579942485351752,1.7756918073836755e-5,0.0014135029049070348,0.0012014781563582115,UCHL1/CDKN1A/SLC6A11/SRR/SST/MDM2/GRIN1/GSTM2/NR1I2/AMH/SLC1A1/TP73/TRAF3IP2/ASS1/KCNH2/FBP1/LRP8/IGFBP2/SCN11A/ABCA3/NQO1/SLC12A5/GABRG3/FMO5/CYP2S1/MAP2K6/GRM2/KCNQ3/CCNO/NOS1/ABCC6/CBR3/SMTNL1/KCNK3/SLC6A2/ACSM1/ABCC3/CYP2W1/NKX3-1/WNK4/GRIN2A/GAL/CPS1/PTGS2/LPO/PAX6/TH/SLC1A2/DRD2/SLC1A3/TNF/SLCO1B3/ALDH3A1/SLCO1A2/SCGB1A1/CES3/TFAP2B/MMP7/SCNN1B/ADCYAP1R1,60
GO:0050767,regulation of neurogenesis,53/1451,383/18986,0.13838120104438642,1.8106860668702416,4.610486181862639,1.8219104653243116e-5,0.0014190474966207561,0.0012061910620104282,L1CAM/PLAG1/EPHB2/MAG/WNT7A/HES5/MAP3K13/TRIM46/CDKN2B/TP73/BMP7/SOX11/LRP8/CRABP2/SEMA6C/NEURL1/DLL3/CHODL/LRP2/GPR37L1/HES6/BRINP1/SHH/RASSF10/DAB1/GFAP/EPHA4/ROBO2/GLI3/NOG/ZNF488/TENM4/SEMA6D/PLXNA4/LEF1/LPAR3/EFNB3/PAX6/SLIT1/RND2/DRD2/IFNG/TNF/WNT2/EPHA7/LHX2/FSTL4/HES2/RELN/DMRTA2/CCL11/MT3/LRP4,53
GO:0060541,respiratory system development,36/1451,225/18986,0.16,2.093563059958649,4.746715698681882,1.8528406473096904e-5,0.0014190474966207561,0.0012061910620104282,SPDEF/THRB/PGR/RARG/TP73/HHIP/ASS1/SMPD3/ALDH1A3/DLX5/AGR2/SOX11/ABCA3/ZFPM2/MSX1/MIR17HG/SHH/PKDCC/GLI1/WT1/GLI3/RBP4/NOG/LEF1/PDGFRA/SFTPD/TNF/WNT2/FOXA1/SLC23A1/DNAAF1/FGF7/TCF21/WNT11/MYOCD/SIX1,36
GO:0061138,morphogenesis of a branching epithelium,32/1451,190/18986,0.16842105263157894,2.203750589430157,4.796966846745432,1.8613037550355382e-5,0.0014190474966207561,0.0012061910620104282,PGR/ESR1/HHIP/ADAMTS16/BMP7/SOCS3/ADM/HOXA11/SALL1/IHH/LHX1/SHH/PAX2/EYA1/WT1/NKX3-1/GLI3/NOG/MSX2/LEF1/FOXC2/HS3ST3B1/TNF/WNT2/WNT6/FOXA1/TMEM59L/FGF7/CCL11/TCF21/HOXB13/SIX1,32
GO:0010975,regulation of neuron projection development,60/1451,452/18986,0.13274336283185842,1.736916255496667,4.561302725652914,1.8988264308361783e-5,0.0014275482597383656,0.0012134167147931194,L1CAM/ALK/FIGNL2/EPHB2/MAG/MDM2/KIF13B/TANC2/KLK6/WNT7A/MAP3K13/TRIM46/ITM2C/TSKU/BMP7/EFNB2/LRP8/VIM/CRABP2/ATP8A2/LPAR1/SEMA6C/KIF1A/UST/CHODL/NLGN1/ROBO3/SNAP25/DGKG/DAB1/COBL/GFAP/EPHA3/EPHA4/PLA2G3/CNR1/ROBO2/PRRX1/XK/NEU4/SEMA6D/PLXNA4/LPAR3/EFNB3/PAX6/SLIT1/RND2/RTN4RL2/EPHA7/FSTL4/CNTN1/NTNG1/FAT3/BMP5/TUBB2B/PAK3/ALKAL2/RELN/MT3/LRP4,60
GO:0003014,renal system process,25/1451,132/18986,0.1893939393939394,2.478175970594992,4.9022727895689275,1.9785536019326867e-5,0.0014472852226029233,0.0012301931428232967,NPR1/CLDN19/TMEM63C/KIRREL1/CLCNKB/CLDN16/AVPR2/SLC5A1/AKR1B1/ADM/SCN11A/OR51E2/CLCNKA/CHRNB4/ATP6V1B1/WNK4/AQP3/SLC12A3/AMN/HNF1A/DRD2/SCNN1B/IGKV3-20/IGHA1/JCHAIN,25
GO:0010977,negative regulation of neuron projection development,25/1451,132/18986,0.1893939393939394,2.478175970594992,4.9022727895689275,1.9785536019326867e-5,0.0014472852226029233,0.0012301931428232967,FIGNL2/EPHB2/MAG/MDM2/TRIM46/ITM2C/TSKU/EFNB2/VIM/LPAR1/SEMA6C/NLGN1/DAB1/GFAP/EPHA4/NEU4/SEMA6D/EFNB3/SLIT1/RTN4RL2/EPHA7/FSTL4/FAT3/MT3/LRP4,25
GO:0003015,heart process,40/1451,262/18986,0.15267175572519084,1.997674675533062,4.677635746574876,2.0278997225242878e-5,0.001463602826403196,0.001244063113986479,RNLS/TRPM4/MDM2/FGF12/SCN8A/SCN4A/THRB/KCNJ12/GSTM2/SLC8A1/ADRA1B/RANGRF/SLC1A1/TMEM38A/S100A1/KCNH2/ADM/SCN11A/SCN2B/KCNN2/ATP2A3/KCNE4/MAP2K6/TNNI3/ATP2B2/NOS1/GLP1R/HCN4/KCND3/ATP2B3/SCN3B/SCN5A/TH/DRD2/CHRM2/TNF/SCN7A/SCN2A/PLN/TBX18,40
