mtry,splitrule,min.node.size,Accuracy,Kappa,AccuracySD,KappaSD
10,gini,5,0.8222222222222222,0.7293615765389719,0.041616621222758624,0.0630810784683456
100,gini,10,0.8216374269005848,0.728826189390443,0.06161201025060079,0.0935298583786109
10,gini,10,0.8169590643274854,0.7220112766504468,0.04466129002367842,0.06624989693007416
32,gini,5,0.8114035087719298,0.7132967521755713,0.05112780248551377,0.07640043552302683
32,gini,1,0.8108187134502924,0.7125434729972506,0.07105022497308096,0.10740419070233137
100,gini,1,0.8108187134502924,0.7122182896226382,0.05759194847951619,0.08786339380388918
10,gini,1,0.8061403508771929,0.7055373500602077,0.0582010915113313,0.0868421313467897
32,gini,10,0.8002923976608187,0.6964659376731648,0.05825615231470645,0.08783478518807937
100,gini,5,0.8,0.6955961139751518,0.05986480613724908,0.09149239179265889
