Model,Accuracy,Kappa,Macro_Sensitivity,Macro_Specificity,Macro_F1,Macro_Balanced_Accuracy
LASSO_lambda_min,0.9565217391304348,0.9341917024320459,0.9606481481481481,0.9790849673202614,0.9563095238095238,0.9698665577342048
LASSO_lambda_1se,0.9130434782608695,0.8670520231213871,0.912037037037037,0.9531746031746032,0.9181614625624369,0.9326058201058202
