Gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
ECPAS,-0.005539567228070474,6.670616557445719,-0.08793544548442471,0.930003384252989,0.9614134680344736,-6.88110252262812
ARC,-0.02464495724052662,-0.13407977484763842,-0.08781550936282188,0.9300986070414948,0.9614630023656651,-6.108816536165798
ELK4,-0.008963786020102837,5.232030098877934,-0.0875878617310648,0.9302793497077264,0.9615580716024408,-6.810109977741208
AC009061.2,-0.007986123242568421,1.0982137594794281,-0.08758049594894056,0.9302851978901198,0.9615580716024408,-6.243404555972813
RANBP9,0.006108837422580393,5.1306153287964005,0.08738038088900775,0.9304440839419795,0.9616733910718466,-6.802523810993442
TKTL1,-0.035870595301703556,-2.291409839317321,-0.08717652146508904,0.9306059457884647,0.961782010687011,-5.857970292053071
ZNF266,0.010148687960736424,5.168580224442422,0.08709280545929163,0.9306724160927221,0.961782010687011,-6.808859444454957
IBSP,0.02761316303700334,-1.813479331884596,0.08706921911371902,0.9306911436814331,0.961782010687011,-5.98419039479508
AC002398.1,-0.013088664771398473,-0.39629973795893036,-0.08677742852400096,0.9309228289760659,0.9619504580574918,-6.09989031366272
ZNF155,0.009838334013547834,0.8156731693593352,0.08664956299898564,0.9310243576234367,0.9619504580574918,-6.218926020543783
HEATR3,0.007233106244361132,4.7737522327361495,0.08664524983169997,0.9310277824133475,0.9619504580574918,-6.772428650336825
AL669983.1,-0.012930872026408191,-0.7787570071817292,-0.08654875664820245,0.9311044013590688,0.9619504580574918,-6.075060018016713
BIN2,-0.016096762757662475,2.0739560859984536,-0.08642962351601678,0.9311989980982964,0.9619504580574918,-6.356076648182191
RASL12,-0.01517660498160156,2.946220686930404,-0.08640430984555379,0.9312190983479616,0.9619504580574918,-6.469254257187746
COL7A1,0.016088580368787575,4.877922581422591,0.08630845313885706,0.9312952134994891,0.9619504580574918,-6.761103933470511
LAMB3,-0.020644625286928786,6.35409781375122,-0.08628104062294877,0.9313169805622595,0.9619504580574918,-6.8678516531889695
ATP6V0B,-0.006534417922452462,7.777906763543792,-0.08622858097767651,0.9313586365834138,0.9619504580574918,-6.887427020277222
GIMAP7,-0.015336942267337061,2.0214518418169476,-0.08622282211846437,0.931363209465383,0.9619504580574918,-6.356933137411873
MED28,0.00569981168540501,6.079968533227986,0.0862082455148514,0.9313747841790653,0.9619504580574918,-6.859841325845202
AL031123.4,0.03212348260140896,-2.06438006492171,0.08597379261566473,0.9315609561077949,0.9620663668270163,-5.954687032903445
AC034236.2,0.010619748271827323,1.0768332824358775,0.08594769242000416,0.931581681714017,0.9620663668270163,-6.242727363514174
