Model,Class,Sensitivity,Specificity,Pos Pred Value,Neg Pred Value,Precision,Recall,F1,Prevalence,Detection Rate,Detection Prevalence,Balanced Accuracy
LASSO,CN_high,1,0.9705882352941176,0.9230769230769232,1,0.9230769230769232,1,0.96,0.2608695652173913,0.2608695652173913,0.2826086956521739,0.9852941176470588
LASSO,CN_low,0.9444444444444444,1,1,0.9655172413793104,1,0.9444444444444444,0.9714285714285714,0.391304347826087,0.3695652173913043,0.3695652173913043,0.9722222222222222
LASSO,Hypermutated,0.9375,0.9666666666666668,0.9375,0.9666666666666668,0.9375,0.9375,0.9375,0.34782608695652173,0.32608695652173914,0.34782608695652173,0.9520833333333334
Random Forest,CN_high,0.9166666666666666,0.9411764705882352,0.8461538461538461,0.9696969696969696,0.8461538461538461,0.9166666666666666,0.8799999999999999,0.2608695652173913,0.2391304347826087,0.2826086956521739,0.928921568627451
Random Forest,CN_low,0.8888888888888888,0.8214285714285714,0.7619047619047619,0.92,0.7619047619047619,0.8888888888888888,0.8205128205128205,0.391304347826087,0.34782608695652173,0.4565217391304347,0.8551587301587301
Random Forest,Hypermutated,0.5625,0.9,0.7500000000000001,0.7941176470588235,0.75,0.5625,0.6428571428571429,0.34782608695652173,0.1956521739130435,0.2608695652173913,0.73125
