Gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
AC109322.2,1.2955958283328404,-1.681980131075443,5.9843756267243995,8.116450766539422e-9,1.479450631203114e-7,9.836963904814784
AC020910.6,1.0672580663721507,-0.16686560256898023,5.983175861920956,8.16846690219645e-9,1.484936684438646e-7,9.79528385339199
METRNL,1.1594316867049574,5.197082966756092,5.9808767420002615,8.269058923393053e-9,1.5018798352014336e-7,9.326805516724264
LMO3,2.691950491004065,0.4222381643935113,5.970844944955159,8.722341272498236e-9,1.5771607119417627e-7,9.664511653008098
AL670729.3,1.594497128839926,0.7670991751901151,5.96974926371342,8.773297753830925e-9,1.5823237575210344e-7,9.66885173370441
LINC00648,2.6058827941410643,-2.890807230577058,5.968233721339345,8.844260912535155e-9,1.592123638497471e-7,9.763430539995138
GALNT4,-1.8874828554651126,-0.9409827437070218,-5.967797664908473,8.864782472826194e-9,1.5944056546700848e-7,9.755433327772131
SLC12A5,1.5883267561734653,0.6152136442003602,5.967389227380552,8.88404649053e-9,1.5964576558225619e-7,9.669447314643946
HSF2BP,1.046168833701816,-0.8892050676636316,5.961119745987204,9.184938143097411e-9,1.647614146692955e-7,9.698957592678997
EP300-AS1,-1.4136228699365696,-1.9154518103678735,-5.960029286037291,9.238280842849057e-9,1.654262729956513e-7,9.722150309803903
ERBB2,1.0382750565495753,8.090642162732234,5.95391207952892,9.543186255780979e-9,1.705855034850419e-7,9.13866548807366
SLC38A3,1.9690150268135551,0.2750135705339946,5.941832701845511,1.0174457089455963e-8,1.8107326259728808e-7,9.556691380579355
FAM131C,1.5533914793682708,-0.6438458669492576,5.940861969763237,1.0226925145917653e-8,1.818477923583818e-7,9.586096015916567
PCDH10,2.533953759023764,-0.455477237660304,5.939271349651195,1.031347080467262e-8,1.829066148640195e-7,9.573153162189005
ZNF667-AS1,1.7858385323301849,3.133153496489847,5.9384712130886905,1.035727665479864e-8,1.8352335722068662e-7,9.352742234114414
MROH7,1.3821587422993125,-1.1631142724196732,5.930121460781638,1.0825406200484405e-8,1.911366193380455e-7,9.550876544675756
DMRT1,2.0242896731850157,-1.2411537277144096,5.929972215245099,1.0833959135870321e-8,1.911366193380455e-7,9.542335173584297
FSD1,1.5678996339166735,0.37651370041965676,5.929339675174909,1.0870282049096542e-8,1.9161111219933922e-7,9.466795785379105
LINC02535,-1.8947990587309171,-1.6114946194117203,-5.929021080451607,1.0888622075081182e-8,1.9176807197049387e-7,9.566609153617298
CR2,1.9883619023173744,-0.03924752278541692,5.925427377971827,1.1097602443785709e-8,1.952793697554119e-7,9.487193530446959
AC010319.1,1.1578703851631447,-1.8092417730998294,5.923470359681824,1.1213051141702847e-8,1.9714018287540543e-7,9.53181846725837
AL161669.3,1.8007592740157048,-1.4462821003076225,5.916483470715809,1.1634884868351914e-8,2.0420328157546138e-7,9.489627723303883
ASRGL1,-1.4726246226274036,7.1353083733434115,-5.913275787688004,1.1833709502161304e-8,2.0715616875273587e-7,8.944472539965899
LINC01356,1.4745541380169103,-2.2485629543163417,5.911555418067206,1.1941709632658451e-8,2.0868727994337948e-7,9.47608674860125
C15orf65,-1.1321979348372144,1.7729702699961496,-5.9065316930501615,1.2262632130525764e-8,2.1356104149169292e-7,9.353577494978614
SCN2B,1.8574575687630608,-2.482952882376855,5.904709417429223,1.2381113578963146e-8,2.1543985648873884e-7,9.443025755150074
NEURL1,1.4350046495439375,0.18072144607812843,5.903728378673532,1.2445361941677291e-8,2.1637257151638088e-7,9.364006624926757
KIF1A,2.6893509724398568,4.5368318172556705,5.900070634743617,1.2687794486767919e-8,2.1983659164368631e-7,8.951214253927942
TRIM17,1.8444825817986927,2.476455330721885,5.9000694677787084,1.2687872564359578e-8,2.1983659164368631e-7,9.237354147570633
SLC16A5,1.2638604599687926,3.950991374333036,5.899545533826197,1.2722974673971625e-8,2.2025701641720554e-7,9.021554446968707
TMEM176A,1.4365073321944433,4.862083029411672,5.896530359837998,1.2926836204444645e-8,2.2321581904769154e-7,8.91979988584189
STOX2,1.2144697230856667,2.752803988980724,5.893181863682962,1.3156978117787936e-8,2.2699696372319356e-7,9.177683856039067
AC010210.1,1.1059706254120292,-0.6642277159562011,5.887957306318469,1.3524085514053218e-8,2.3313275147380627e-7,9.325654900589548
FBN3,2.4804459387583484,1.7308730428921755,5.884595232408518,1.3765600226995255e-8,2.3709496526563692e-7,9.146742610538999
MCOLN3,1.8776402191416142,0.9922298262836271,5.881180724969343,1.4015196091998127e-8,2.406223844280769e-7,9.21793966658234
ORAOV1P1,-1.8880447792464536,-1.0943397149486034,-5.880544041599798,1.406222373671108e-8,2.411819706539376e-7,9.320093273366485
SLC12A2,-1.012345935872161,5.288753373853444,-5.875302200589409,1.4455312971145904e-8,2.475061338041865e-7,8.824078092248545
RFPL1S,1.9858491552184596,-2.0760287881511212,5.874296606732399,1.4531941737256513e-8,2.484664802030665e-7,9.292395117497906
DLL3,1.888597364879885,-1.5844015677499612,5.87409001135884,1.4547733923553776e-8,2.484664802030665e-7,9.265138911251151
SLC16A1-AS1,1.1306616385860575,0.3654944118229595,5.86940195533,1.4910633481132455e-8,2.542313044215906e-7,9.195056248922505
LINC01833,2.611484690863328,-0.47293130518427384,5.868985991066037,1.494325717189286e-8,2.5457398052099786e-7,9.188476403456963
LINC02028,1.3331868297317468,-1.3589897384078,5.857873078690677,1.5841132630466665e-8,2.691932939645523e-7,9.196644346600834
IGFALS,1.7010071571562817,0.26860684658894735,5.855543285036928,1.603594947159195e-8,2.718220492582442e-7,9.119981878370195
OAS1,1.410605168261183,4.515239440296792,5.854048154132435,1.616220359275877e-8,2.735059332383258e-7,8.719647614879683
AGBL4,1.8063304049485045,-1.7591083819682827,5.85318267139716,1.6235731452891094e-8,2.744708698931323e-7,9.181428746207414
PARVG,-1.3639040542853986,4.602625423332854,-5.846064344421627,1.6853007357923203e-8,2.8424939547089727e-7,8.736716039594457
ZNF772,1.7345317669621836,1.6815582341864659,5.845351927766517,1.6916033720987342e-8,2.8507584522831405e-7,9.013095029774826
IGF2BP3,1.9526839416797022,1.048943159688803,5.840635432384028,1.7339144026236462e-8,2.9148119370490474e-7,8.990963676885357
AC079145.1,1.262168536254586,-0.45731459309145966,5.837882750153277,1.7590844727937757e-8,2.944945043250469e-7,9.071897998676345
