Gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
USP7,-0.2219125521908092,7.120908371467314,-3.741996158153213,2.2987523394145788e-4,8.116720386772394e-4,-0.595172977261238
COQ10A,-0.3823736407090479,3.2671153222178506,-3.741756534217052,2.3008207796884524e-4,8.122612736909521e-4,-0.25748202741885073
BTF3,-0.3525904333048242,8.382715230515274,-3.741623880372049,2.3019666071024514e-4,8.125246495788507e-4,-0.5977078574356041
TMEM67,-0.5047944818571497,3.6949729167272554,-3.739932518179638,2.316623454606654e-4,8.175560877135899e-4,-0.3454792846022192
TTC28,-0.44442655660511754,5.5449202289117645,-3.739761112655118,2.3181137132942487e-4,8.179399845311165e-4,-0.5488100722368694
SLC38A7,-0.3097714214476728,5.51051636529013,-3.7396030395023945,2.3194888582470438e-4,8.182831375631473e-4,-0.5426264909047314
CCDC93,0.29715918586186074,4.599739729299646,3.7393978185971073,2.3212753108261224e-4,8.187712498651529e-4,-0.4718450946773052
AC006213.4,-0.8180792030865253,-1.019258469807868,-3.738716078793334,2.3272192044618075e-4,8.207253706660034e-4,0.14005506334818563
DLX6-AS1,-1.265559980460166,4.094434976366042,-3.7383217864727243,2.3306634840216048e-4,8.217162745604061e-4,-0.36102827372093227
PPP5C,0.3362995278616978,6.309409359712294,3.7383018696034256,2.3308375924231163e-4,8.217162745604061e-4,-0.5946989269929706
CRYM,-1.5154506249518689,1.3107135347566226,-3.737887169479632,2.3344655913448117e-4,8.228525611947964e-4,-0.04587881978962827
RNF41,0.2729979767880524,5.757773673293175,3.7373223398991824,2.339415575480524e-4,8.244543463857494e-4,-0.5796389998921949
CYHR1,0.39392214073329335,6.4266903026788595,3.737170827323075,2.3407450679415026e-4,8.247798675596931e-4,-0.6027467652372005
CEMIP,-1.2134102099642559,4.055110523971826,-3.7368539520861686,2.343527891626244e-4,8.256172797609946e-4,-0.3492005796933233
MEIG1,-0.8212641527020732,-0.4969799842323621,-3.7366344161693554,2.3454577054856006e-4,8.261539411835242e-4,0.07226468588616264
AC244502.1,-1.2943550674751512,-1.5094728107917132,-3.73634107812545,2.3480386137922325e-4,8.269197155902501e-4,0.1703459952644648
GGA1,-0.30955086052220704,6.562682937476299,-3.7362916136075333,2.3484740870663266e-4,8.269297876911993e-4,-0.6054363585837343
FOXRED2,0.41662923319957024,5.897580392715825,3.735960901221878,2.3513875566645028e-4,8.278122414974771e-4,-0.5843713836518036
ETV6,-0.2916503272045956,6.048261376745509,-3.73566143402477,2.3540287107598392e-4,8.285985368459122e-4,-0.5946190402454938
SPOCK3,1.5702697530050442,-2.483103378976424,3.735577812118209,2.3547667152697675e-4,8.28714783050091e-4,0.1933269641150268
LMAN1,-0.450845087755253,7.189006745594107,-3.735488984053928,2.3555509060088086e-4,8.288472405422961e-4,-0.6187915762531082
LINC01231,-1.1106252181878713,-1.9501231972735373,-3.7344104764896158,2.3650918686594715e-4,8.320603624482447e-4,0.17360099274967222
POLA2,0.45907981783589635,3.7661599441863802,3.734333199152807,2.365776897957911e-4,8.32157315231855e-4,-0.36376838418781166
SPON2,-0.7366841135431903,5.904420843271092,-3.733480254513307,2.3733503312151056e-4,8.346767975707874e-4,-0.5813767415390041
TPRN,0.45223535168407203,5.2377243925063075,3.7328939798701457,2.3785692286850034e-4,8.363674914151212e-4,-0.5573962621688828
NOL11,0.35340657550070986,5.2954322067106885,3.7325139016018447,2.3819583960017039e-4,8.374143303985233e-4,-0.5700980851790138
UGDH-AS1,-0.5000031854185546,0.3164296361316846,-3.732305909413632,2.3838149974795124e-4,8.379221032302596e-4,0.019360498994620556
FAAP100,0.349233482172683,6.483689325881775,3.7307915391790383,2.397373977942239e-4,8.425424300138002e-4,-0.6258830183116553
CNIH3,-0.649831474923837,2.2094013940919885,-3.730046535796944,2.404071092148833e-4,8.446882395167632e-4,-0.15401044290107624
NDUFAB1,0.3025252791852244,5.594169981465317,3.73001989575389,2.404310896282462e-4,8.446882395167632e-4,-0.5938914856432342
NHP2,0.3531369797786317,5.128515017879035,3.7298934998798163,2.4054489745341606e-4,8.449420144907065e-4,-0.5643814732353869
KISS1,-1.1430182630304642,-0.8706627621935503,-3.7297627568125997,2.4066267304347408e-4,8.452096365881401e-4,0.09048249961692179
