Model,Class,Sensitivity,Specificity,Pos Pred Value,Neg Pred Value,Precision,Recall,F1,Prevalence,Detection Rate,Detection Prevalence,Balanced Accuracy
LASSO_lambda_min,Class: CN_high,1,0.9705882352941176,0.9230769230769231,1,0.9230769230769231,1,0.9600000000000001,0.2608695652173913,0.2608695652173913,0.2826086956521739,0.9852941176470589
LASSO_lambda_min,Class: CN_low,0.9444444444444444,1,1,0.9655172413793104,1,0.9444444444444444,0.9714285714285714,0.391304347826087,0.3695652173913043,0.3695652173913043,0.9722222222222222
LASSO_lambda_min,Class: Hypermutated,0.9375,0.9666666666666667,0.9375,0.9666666666666667,0.9375,0.9375,0.9375,0.34782608695652173,0.32608695652173914,0.34782608695652173,0.9520833333333334
LASSO_lambda_1se,Class: CN_high,0.9166666666666666,1,1,0.9714285714285714,1,0.9166666666666666,0.9565217391304348,0.2608695652173913,0.2391304347826087,0.2391304347826087,0.9583333333333333
LASSO_lambda_1se,Class: CN_low,0.9444444444444444,0.8928571428571429,0.8500000000000001,0.9615384615384616,0.85,0.9444444444444444,0.8947368421052632,0.391304347826087,0.3695652173913043,0.43478260869565216,0.9186507936507937
LASSO_lambda_1se,Class: Hypermutated,0.875,0.9666666666666667,0.9333333333333333,0.935483870967742,0.9333333333333333,0.875,0.9032258064516129,0.34782608695652173,0.30434782608695654,0.32608695652173914,0.9208333333333334
