ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0002460,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,44/667,400/18986,0.11,3.1311244377811094,8.219836418821652,2.084986356624397e-11,5.612783272032877e-9,5.38292267089204e-9,MLH1/CFI/C8B/ULBP1/CXCL13/FCER1A/IGHG1/C4BPA/IGHG3/ULBP2/IGHM/C6/C3/IGHG4/CCL19/IGHV4-39/IGHG2/IL12A/IGLC2/IGLL5/IGHV4-34/IGHV1-69/IGKC/IGHV2-5/IGHV5-51/IGHV3-21/IGHV1-24/IGHV3-23/IGHV3-66/IGHV3-30/IGHV2-70/IGHV3-20/IGHV3-53/IGHV4-59/IGHV2-26/IGHV1-69D/IGHV1-18/IGHV4-28/IGHV3-48/IGHV3-33/IGHV4-61/IGLC7/IGHV4-31/IGHV3-7,44
GO:0002449,lymphocyte mediated immunity,43/667,386/18986,0.11139896373056994,3.1709456152752638,8.222492018752096,2.348169267368516e-11,5.926192188521292e-9,5.683496535953138e-9,MLH1/CFI/C8B/ULBP1/FCER1A/LAG3/IGHG1/C4BPA/IGHG3/ULBP2/IGHM/C6/C3/IGHG4/IGHV4-39/IGHG2/IL12A/IGLC2/IGLL5/IGHV4-34/IGHV1-69/IGKC/IGHV2-5/IGHV5-51/IGHV3-21/IGHV1-24/IGHV3-23/IGHV3-66/IGHV3-30/IGHV2-70/IGHV3-20/IGHV3-53/IGHV4-59/IGHV2-26/IGHV1-69D/IGHV1-18/IGHV4-28/IGHV3-48/IGHV3-33/IGHV4-61/IGLC7/IGHV4-31/IGHV3-7,43
GO:0009952,anterior/posterior pattern specification,31/667,220/18986,0.1409090909090909,4.0109445277361315,8.57127788026268,4.3682033978675907e-11,1.0375767835640783e-8,9.950848483439545e-9,HOXB4/HOXB3/HOXB8/OTX1/HOXC11/FGF8/HOXC10/HOXB2/HOXC9/BARX1/HOXB1/HOXB7/HOXB5/AXIN2/HOXA9/HOXB6/SFRP2/BMP4/SIX2/HOXA6/NKD1/HOXC8/HEY2/FOXB1/HOXA5/HOXA7/HOXC6/PAX6/CDX2/WNT3A/WIF1,31
GO:0007389,pattern specification process,48/667,476/18986,0.10084033613445378,2.8703967344059063,7.885901332366403,5.4697271487949963e-11,1.186373050274235e-8,1.1377874539138477e-8,HOXB4/HOXB3/HOXB8/OTX1/HOXC11/FGF8/HOXC10/CFAP53/DNAI2/HOXB2/ENKUR/HOXC9/BARX1/HOXB1/DRC1/HOXB7/HOXB5/DNAAF1/AXIN2/HOXA9/HOXB6/SFRP2/DNAH5/WNT6/BMP4/SIX2/HOXA6/C3/NKD1/CFAP52/HOXC8/HEY2/FOXB1/DNAI1/HOXA5/HOXA7/HOXC6/PAX6/GDNF/RELN/CDX2/WNT3A/WNT11/IHH/SOSTDC1/LHX2/FOXG1/WIF1,48
GO:0070286,axonemal dynein complex assembly,14/667,41/18986,0.34146341463414637,9.71967674699236,10.665036475804811,5.582240702132359e-11,1.186373050274235e-8,1.1377874539138477e-8,DNAI4/CCDC65/DNAI3/DNAH7/DNAI2/CFAP57/DRC1/DNAAF1/DNAH2/DNAAF6/DNAH5/DNAI1/CFAP100/CFAP73,14
GO:0002443,leukocyte mediated immunity,48/667,485/18986,0.09896907216494845,2.817131640365384,7.735297023473368,1.0468337655424848e-10,2.1135573726302768e-8,2.027000749174106e-8,MLH1/CFI/C8B/ULBP1/FCER1A/LAG3/IGHG1/C4BPA/IGHG3/ULBP2/IGHM/C6/SCN11A/KIT/C3/AZU1/IGHG4/IGHV4-39/SCNN1B/DBH/IGHG2/IL12A/IGLC2/IGLL5/IGHV4-34/IGHV1-69/IGKC/IGHV2-5/IGHV5-51/IGHV3-21/IGHV1-24/IGHV3-23/IGHV3-66/IGHV3-30/IGHV2-70/IGHV3-20/IGHV3-53/IGHV4-59/IGHV2-26/IGHV1-69D/IGHV1-18/IGHV4-28/IGHV3-48/IGHV3-33/IGHV4-61/IGLC7/IGHV4-31/IGHV3-7,48
GO:0048706,embryonic skeletal system development,23/667,134/18986,0.17164179104477612,4.8857436953165205,8.613212679216758,2.735927590039326e-10,5.260797908847047e-8,5.0453521823331734e-8,HOXB4/HOXB3/HOXB8/HOXC11/FGF8/HOXB2/RUNX2/HOXC9/HOXB1/HOXB7/HOXB5/HOXA9/HOXB6/FGF9/BMP4/SIX2/HOXA6/HOXA5/HOXA7/HOXC6/PAX5/WNT11/IHH,23
GO:0044458,motile cilium assembly,17/667,79/18986,0.21518987341772153,6.1253297401931945,8.710465822801595,1.618542820909799e-9,2.9707617776517125e-7,2.849100018242656e-7,SPAG17/KLC3/MEIG1/CFAP58/SPAG16/CFAP43/CFAP53/CFAP221/CFAP57/DRC1/DNAAF1/CFAP54/RSPH9/CFAP61/DRC7/CFAP65/DNALI1,17
GO:0007286,spermatid development,29/667,232/18986,0.125,3.558095952023988,7.4805099242879365,3.2179529722152354e-9,5.649606131219618e-7,5.418237521638376e-7,SPAG17/KLC3/MEIG1/PACRG/CFAP58/SPAG16/CFAP43/CFAP53/CFAP221/ARMC3/CFAP57/RSPH1/DRC1/SOX30/ADGB/STK33/CFAP54/ROPN1B/CFAP61/DPY19L2/KIT/DRC7/CFTR/CFAP52/CFAP65/DNALI1/CATSPERD/CFAP73/ROPN1L,29
GO:0120316,sperm flagellum assembly,14/667,54/18986,0.25925925925925924,7.379754567160863,8.958183201946497,3.367910693816514e-9,5.666509742346285e-7,5.434448878311823e-7,KLC3/MEIG1/CFAP58/SPAG16/CFAP43/CFAP53/CFAP221/CFAP57/DRC1/CFAP54/CFAP61/DRC7/CFAP65/DNALI1,14
