ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0006493,protein O-linked glycosylation,20/1923,100/18986,0.2,1.974622984919397,3.2804536361826258,0.002237328664491232,0.02867659954138033,0.0236923865066377,GCNT1/EOGT/GALNT10/TMTC2/GALNT5/B3GNT3/GCNT3/GALNT4/A4GALT/TMTC1/B3GALT5/GALNT14/GALNT16/B3GNT8/FUT3/FUT6/ST6GALNAC2/ST8SIA6/GALNT13/CHST4,20
GO:0043266,regulation of potassium ion transport,21/1923,107/18986,0.19626168224299065,1.9377141440797818,3.2654279810629343,0.0022452740151562706,0.02867659954138033,0.0236923865066377,KCNIP3/GCK/KCNH2/EDN3/ADORA1/KCNS1/KCNRG/KCNE4/KCNE1/LRRC26/ADRA2A/KEL/GAL/KCNN4/KCNG1/ACTN2/LRRC55/KCNG3/NOS1/DPP10/OPRK1,21
GO:0060632,regulation of microtubule-based movement,14/1923,60/18986,0.23333333333333334,2.3037268157392963,3.395471215766965,0.0022472886869092145,0.02867659954138033,0.0236923865066377,CFAP69/TRIM46/EPPIN/DNAAF1/GAS2L2/DNAH11/CFAP43/CCDC40/CCDC65/RSPH4A/CFAP45/DRC1/TTLL6/DEFB1,14
GO:0002067,glandular epithelial cell differentiation,16/1923,73/18986,0.2191780821917808,2.1639703944322157,3.3449559311284895,0.00226273344224812,0.028746205210017507,0.023749894175984103,SPDEF/PGR/CLCN2/RARG/AGR2/BMP4/PROX1/FGF8/HOXA5/BHLHA15/BMP5/NR5A2/TP63/SLC9A4/NKX6-1/FOXA1,16
GO:0061035,regulation of cartilage development,16/1923,73/18986,0.2191780821917808,2.1639703944322157,3.3449559311284895,0.00226273344224812,0.028746205210017507,0.023749894175984103,SMPD3/RARG/IHH/MBOAT2/AXIN2/SCX/BMP4/FGF18/BMPR1B/NOG/RUNX2/GLI3/PKDCC/GDF5/SHOX2/SIX2,16
GO:0051962,positive regulation of nervous system development,46/1923,297/18986,0.15488215488215487,1.5291693149207448,3.085653052092489,0.0023452605056225443,0.0297290180833871,0.0245618866308765,L1CAM/PLAG1/CLCN2/EPHB2/PRKCI/EPHB1/WDR62/SLITRK2/ASPM/NEURL1/TTBK1/SOX11/ROBO2/MAG/LRP8/SHH/SLITRK6/TP73/BDNF/NTN1/CDON/WNT7A/MYB/IL33/GFAP/LRP2/WNT3/SYNDIG1/ZNF488/NLGN1/CX3CR1/GLI3/CHODL/MME/MAP1B/ASIC2/EFNA5/CRABP2/RASSF10/RND2/SHOX2/NKX6-1/WNT3A/ISLR2/FOXG1/PLXNA4,46
GO:0032412,regulation of monoatomic ion transmembrane transporter activity,32/1923,188/18986,0.1702127659574468,1.6805301999314013,3.1480219519942496,0.0023563406533974748,0.02980382518747795,0.02462369168628431,RANGRF/GNB5/WNK3/PTPN3/EPHB2/FGF12/TESC/KCNRG/CACNG8/KCNE4/KCNE1/LRRC26/GSTM2/STAC2/SLC6A9/ADRA2A/P2RY6/PCSK9/STAC/GAL/CACNG4/NLGN1/JPH3/ACTN2/HPCA/LRRC55/FGF14/JPH2/CASQ1/RRAD/HAMP/SHANK1,32
GO:0002069,columnar/cuboidal epithelial cell maturation,6/1923,15/18986,0.4,3.949245969838794,3.8360014229739505,0.002391539558257179,0.029920239473413185,0.024719872276081644,CDKN1A/PGR/HOXA5/BHLHA15/GJA1/NKX6-1,6
GO:0002713,negative regulation of B cell mediated immunity,6/1923,15/18986,0.4,3.949245969838794,3.8360014229739505,0.002391539558257179,0.029920239473413185,0.024719872276081644,C4BPA/C4BPB/SVEP1/CR2/SUSD4/FOXJ1,6
GO:0002890,negative regulation of immunoglobulin mediated immune response,6/1923,15/18986,0.4,3.949245969838794,3.8360014229739505,0.002391539558257179,0.029920239473413185,0.024719872276081644,C4BPA/C4BPB/SVEP1/CR2/SUSD4/FOXJ1,6
